,Code,Trigger Ratio,Close > Open Percentage,Low Violation 1 week,Low Violation 2 week,Low Violation 3 week,Low Violation 4 week,Close Violation 1 week,Close Violation 2 week,Close Violation 3 week,Close Violation 4 week
0,MAA,3.1417624521072796,51.21951219512195,14.6341,19.5122,12.1951,9.7561,43.9024,12.1951,7.3171,4.878
1,MAS,3.371647509578544,45.45454545454545,15.9091,6.8182,6.8182,9.0909,50.0,15.9091,2.2727,6.8182
2,MCD,2.835249042145594,62.16216216216216,18.9189,2.7027,2.7027,5.4054,37.8378,5.4054,13.5135,13.5135
3,MCHP,1.9923371647509578,53.84615384615385,7.6923,11.5385,3.8462,7.6923,46.1538,23.0769,0.0,0.0
4,MCK,2.6053639846743293,52.94117647058823,17.6471,8.8235,5.8824,5.8824,50.0,17.6471,2.9412,0.0
5,MCO,2.5830258302583027,46.42857142857143,14.2857,7.1429,10.7143,10.7143,50.0,17.8571,7.1429,7.1429
6,MDLZ,3.2751091703056767,73.33333333333333,6.6667,0.0,6.6667,6.6667,33.3333,6.6667,6.6667,6.6667
7,MDT,3.67816091954023,58.333333333333336,10.4167,18.75,10.4167,2.0833,37.5,16.6667,10.4167,2.0833
8,MET,3.1645569620253164,51.42857142857143,20.0,17.1429,5.7143,0.0,51.4286,8.5714,8.5714,0.0
9,MGM,2.681992337164751,51.42857142857143,5.7143,17.1429,11.4286,8.5714,45.7143,14.2857,5.7143,5.7143
10,MHK,3.1417624521072796,51.21951219512195,12.1951,17.0732,14.6341,2.439,53.6585,12.1951,4.878,2.439
11,MKTX,3.0998851894374284,66.66666666666667,22.2222,0.0,3.7037,14.8148,37.037,7.4074,11.1111,3.7037
12,MLM,3.371647509578544,45.45454545454545,20.4545,6.8182,4.5455,4.5455,50.0,13.6364,9.0909,4.5455
13,MMC,2.681992337164751,60.0,22.8571,5.7143,0.0,5.7143,34.2857,5.7143,5.7143,2.8571
14,MMM,4.521072796934866,57.6271186440678,16.9492,15.2542,10.1695,0.0,42.3729,10.1695,1.6949,3.3898
15,MNST,1.839080459770115,54.166666666666664,20.8333,12.5,0.0,4.1667,45.8333,12.5,0.0,0.0
16,MOS,3.0651340996168583,52.5,20.0,12.5,7.5,2.5,45.0,17.5,2.5,2.5
17,MO,2.375478927203065,48.38709677419355,9.6774,19.3548,3.2258,9.6774,41.9355,6.4516,19.3548,0.0
18,MPC,1.9047619047619047,60.0,30.0,20.0,10.0,10.0,40.0,0.0,10.0,20.0
19,MPWR,2.761795166858458,62.5,16.6667,4.1667,12.5,0.0,41.6667,12.5,8.3333,0.0
20,MRK,2.835249042145594,51.351351351351354,13.5135,2.7027,8.1081,5.4054,48.6486,2.7027,5.4054,10.8108
21,MRO,3.67816091954023,35.416666666666664,29.1667,14.5833,6.25,2.0833,62.5,10.4167,4.1667,0.0
22,MSCI,2.244039270687237,62.5,12.5,18.75,6.25,0.0,43.75,18.75,0.0,6.25
23,MSFT,2.6053639846743293,50.0,14.7059,14.7059,17.6471,0.0,47.0588,14.7059,0.0,2.9412
24,MSI,2.7586206896551726,55.55555555555556,27.7778,11.1111,0.0,5.5556,50.0,8.3333,8.3333,2.7778
25,MS,3.6565977742448332,36.95652173913044,26.087,15.2174,10.8696,0.0,60.8696,10.8696,0.0,2.1739
26,MTB,3.0651340996168583,57.5,30.0,17.5,2.5,2.5,47.5,7.5,5.0,2.5
27,MTD,3.1578947368421053,58.97435897435897,10.2564,12.8205,2.5641,2.5641,38.4615,15.3846,2.5641,0.0
28,MU,2.681992337164751,48.57142857142857,22.8571,2.8571,8.5714,8.5714,42.8571,8.5714,8.5714,8.5714
29,MXIM,3.0651340996168583,50.0,20.0,5.0,2.5,7.5,47.5,12.5,7.5,7.5
30,NCLH,3.8374717832957113,70.58823529411765,17.6471,11.7647,0.0,0.0,29.4118,5.8824,11.7647,5.8824
31,NDAQ,2.3162134944612287,52.17391304347826,30.4348,4.3478,8.6957,0.0,52.1739,8.6957,0.0,4.3478
32,NEE,2.9885057471264367,66.66666666666667,7.6923,15.3846,7.6923,0.0,30.7692,17.9487,5.1282,2.5641
33,NEM,3.6015325670498086,63.829787234042556,19.1489,12.766,6.383,0.0,42.5532,17.0213,4.2553,0.0
34,NFLX,1.8018018018018018,55.55555555555556,5.5556,11.1111,11.1111,5.5556,50.0,11.1111,5.5556,5.5556
35,NI,2.4521072796934864,59.375,18.75,3.125,3.125,0.0,37.5,9.375,0.0,3.125
36,NKE,3.218390804597701,54.76190476190476,11.9048,7.1429,4.7619,7.1429,45.2381,11.9048,0.0,4.7619
37,NLOK,3.524904214559387,65.21739130434783,17.3913,6.5217,6.5217,4.3478,32.6087,13.0435,4.3478,4.3478
38,NLSN,3.663003663003663,75.0,20.0,10.0,5.0,10.0,25.0,10.0,20.0,0.0
39,NOC,1.9923371647509578,50.0,15.3846,15.3846,0.0,7.6923,46.1538,15.3846,0.0,3.8462
40,NOV,3.195635229929852,43.90243902439025,21.9512,19.5122,2.439,2.439,53.6585,9.7561,7.3171,0.0
41,NOW,1.271186440677966,16.666666666666668,16.6667,16.6667,16.6667,0.0,83.3333,16.6667,0.0,0.0
42,NRG,2.50272034820457,43.47826086956522,21.7391,8.6957,0.0,4.3478,47.8261,4.3478,8.6957,13.0435
43,NSC,2.9885057471264367,41.02564102564103,25.641,0.0,7.6923,10.2564,58.9744,2.5641,5.1282,5.1282
44,NTAP,2.6053639846743293,41.1764705882353,23.5294,17.6471,5.8824,2.9412,58.8235,5.8824,5.8824,2.9412
45,NTRS,2.7586206896551726,52.77777777777778,16.6667,8.3333,5.5556,0.0,50.0,0.0,2.7778,8.3333
46,NUE,2.835249042145594,45.945945945945944,24.3243,16.2162,10.8108,8.1081,56.7568,0.0,8.1081,2.7027
47,NVDA,3.1623931623931623,51.351351351351354,29.7297,10.8108,5.4054,2.7027,45.9459,13.5135,2.7027,2.7027
48,NVR,2.2988505747126435,56.666666666666664,20.0,6.6667,3.3333,3.3333,43.3333,13.3333,6.6667,3.3333
49,NWL,3.9080459770114944,52.94117647058823,13.7255,13.7255,3.9216,5.8824,45.098,9.8039,5.8824,5.8824
50,NWSA,3.0878859857482186,69.23076923076923,15.3846,7.6923,7.6923,15.3846,30.7692,15.3846,23.0769,7.6923
51,NWS,1.66270783847981,57.142857142857146,0.0,0.0,14.2857,0.0,14.2857,14.2857,28.5714,0.0
52,NXPI,2.276707530647986,53.84615384615385,7.6923,0.0,7.6923,0.0,30.7692,0.0,7.6923,0.0
53,ODFL,2.835249042145594,70.27027027027027,10.8108,8.1081,8.1081,10.8108,29.7297,27.027,13.5135,2.7027
54,OKE,2.681992337164751,48.57142857142857,22.8571,14.2857,11.4286,5.7143,54.2857,11.4286,2.8571,5.7143
55,OMC,3.2950191570881224,46.51162790697674,18.6047,6.9767,6.9767,2.3256,48.8372,9.3023,2.3256,0.0
56,ORCL,2.9118773946360155,55.26315789473684,21.0526,7.8947,5.2632,0.0,47.3684,18.4211,2.6316,0.0
57,ORLY,2.528735632183908,45.45454545454545,12.1212,18.1818,9.0909,3.0303,54.5455,15.1515,6.0606,0.0
58,OXY,3.2950191570881224,53.48837209302326,25.5814,6.9767,2.3256,6.9767,46.5116,9.3023,2.3256,4.6512
59,O,2.9885057471264367,51.282051282051285,12.8205,10.2564,2.5641,5.1282,43.5897,12.8205,7.6923,0.0
60,PAYC,1.0582010582010581,75.0,25.0,0.0,0.0,0.0,25.0,25.0,25.0,0.0
61,PAYX,4.061302681992337,52.83018867924528,22.6415,16.9811,5.6604,3.7736,41.5094,15.0943,5.6604,1.8868
62,PBCT,2.7586206896551726,50.0,16.6667,5.5556,11.1111,11.1111,55.5556,2.7778,2.7778,5.5556
63,PCAR,3.218390804597701,50.0,11.9048,14.2857,0.0,4.7619,45.2381,11.9048,0.0,4.7619
64,PEAK,2.9885057471264367,48.717948717948715,15.3846,20.5128,10.2564,2.5641,48.7179,10.2564,2.5641,2.5641
65,PENN,2.9925187032418954,41.666666666666664,16.6667,8.3333,8.3333,8.3333,58.3333,8.3333,16.6667,0.0
66,PEP,3.218390804597701,47.61904761904762,14.2857,4.7619,4.7619,0.0,50.0,11.9048,2.381,4.7619
